id,item,level,order,unit,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,615286000000.0,786152000000.0,521575000000.0,654136000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,491859000000.0,628175000000.0,416809000000.0,522657000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,0.0,0.0,0.0,0.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,598803000000.0,602139000000.0,554252000000.0,564174000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,1382039000000.0,1382212000000.0,1324658000000.0,1306894000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,97716050000000.0,103302689000000.0,108967827000000.0,114911027000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,89991763000000.0,94886186000000.0,100171836000000.0,105621799000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,5821705000000.0,5821705000000.0,5821705000000.0,5821705000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,308906000000.0,4772890000000.0,3006778000000.0,661974000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-983000000.0,-10637000000.0,-28346000000.0,3697000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,0.0,4.3778701177,4.7463787382,4.4732006874
RT_VALUE_PB,P/B Ratio,1,30,lần,0.0,0.9654967022,1.0729038998,0.9917461973
RT_PRT_ROE,ROE %,1,33,%,0.2124252814,0.2471369118,0.2471255875,0.2406941458
RT_PRT_ROA,ROA %,1,34,%,0.0156878503,0.0189910774,0.0195115097,0.0193882011
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.0396984254,0.0417027731,0.0406098678,0.0401056713
RT_BANK_COF,Cost of Funds (COF),1,36,%,0.0,0.0,0.0,-0.0549400063
RT_BANK_CIR,Cost to Income Ratio (CIR),1,37,%,-0.3844835816,-0.3957810242,-0.3858699468,-0.3562501633
RT_BANK_LDR,Loan to Deposit Ratio (LDR),1,38,%,1.0003406714,0.9941299181,1.0013340776,1.049954025
RT_BANK_NPL,Non-Performing Loans Ratio (NPL),1,39,%,0.0192852779,0.018644613,0.0190129055,0.018271515
RT_BANK_NPL_COVERAGE,NPL Coverage Ratio,1,40,%,-0.7815337216,-0.8797392721,-0.8550843502,-0.9127976669
RT_BANK_CAR,Capital Adequacy Ratio (CAR),1,41,%,0.0,0.0,0.0,0.0
