id,item,level,order,unit,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,2029984000000.0,2058278000000.0,2802668000000.0,2383040000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,1624513000000.0,1647984000000.0,2241191000000.0,1905424000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,0.0,0.0,0.0,0.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,1934668000000.0,3552574000000.0,1876239000000.0,2382079000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,835793000000.0,846859000000.0,947559000000.0,1047993000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,543559670000000.0,556098441000000.0,564145938000000.0,580998048000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,498299905000000.0,509193702000000.0,515001867000000.0,533160214000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,34040057000000.0,34040057000000.0,34040057000000.0,34040057000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,1098775000000.0,22375816000000.0,327269000000.0,314685000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-110342000000.0,-54553000000.0,-199635000000.0,-152438000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,8.1589111122,8.0965147871,7.0588287612,6.5605251286
RT_VALUE_PB,P/B Ratio,1,30,lần,1.3650690329,1.2591371432,1.0909370925,1.0175477772
RT_PRT_ROE,ROE %,1,33,%,0.1733706311,0.1641480978,0.1641680155,0.1568967032
RT_PRT_ROA,ROA %,1,34,%,0.0146531063,0.0138868386,0.0138335295,0.0132200732
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.0308728371,0.0310544849,0.0302837742,0.0304094941
RT_BANK_COF,Cost of Funds (COF),1,36,%,-0.0408654586,-0.0430695564,-0.0445735652,-0.0484971594
RT_BANK_CIR,Cost to Income Ratio (CIR),1,37,%,-0.3633210253,-0.3716269013,-0.3161494495,-0.3174164546
RT_BANK_LDR,Loan to Deposit Ratio (LDR),1,38,%,1.2104604098,1.2966767904,1.2208889314,1.2508474112
RT_BANK_NPL,Non-Performing Loans Ratio (NPL),1,39,%,0.0332172453,0.0296741241,0.0294033006,0.0292555811
RT_BANK_NPL_COVERAGE,NPL Coverage Ratio,1,40,%,-0.3935487206,-0.428668375,-0.4310310428,-0.4358314997
RT_BANK_CAR,Capital Adequacy Ratio (CAR),1,41,%,0.0,0.0,0.0,0.0
