Ticker,LDR,CASA,InterbankDep,CreditDepositGap,NIM
VCB,0.82,0.36,0.015,0.00,0.034
BID,0.88,0.18,0.035,0.05,0.030
CTG,0.87,0.22,0.030,0.04,0.031
TCB,0.80,0.38,0.010,-0.02,0.040
MBB,0.83,0.40,0.020,0.01,0.041
ACB,0.84,0.23,0.015,0.02,0.037
HDB,0.88,0.19,0.030,0.07,0.045
VPB,0.91,0.16,0.045,0.09,0.050
STB,0.90,0.18,0.025,0.06,0.035
VIB,0.92,0.17,0.035,0.10,0.043
SHB,0.89,0.14,0.040,0.07,0.032
TPB,0.87,0.23,0.030,0.05,0.038
LPB,0.86,0.13,0.025,0.04,0.036
OCB,0.91,0.15,0.035,0.09,0.034
MSB,0.82,0.27,0.030,0.01,0.038
SSB,0.79,0.12,0.025,-0.03,0.030
EIB,0.77,0.20,0.020,-0.05,0.028
NAB,0.88,0.10,0.030,0.06,0.033
KLB,0.84,0.09,0.025,0.04,0.034
BAB,0.83,0.07,0.030,0.03,0.030
