Ticker,LDR,CASA,InterbankDep,CreditDepositGap,NIM,Data Type,Source Mode
VCB,0.82,0.36,0.015,0.0,0.034,ASSUMPTION,FALLBACK
BID,0.88,0.18,0.035,0.05,0.03,ASSUMPTION,FALLBACK
CTG,0.87,0.22,0.03,0.04,0.031,ASSUMPTION,FALLBACK
TCB,0.8,0.38,0.01,-0.02,0.04,ASSUMPTION,FALLBACK
MBB,0.83,0.4,0.02,0.01,0.041,ASSUMPTION,FALLBACK
ACB,0.84,0.23,0.015,0.02,0.037,ASSUMPTION,FALLBACK
HDB,0.88,0.19,0.03,0.07,0.045,ASSUMPTION,FALLBACK
VPB,0.91,0.16,0.045,0.09,0.05,ASSUMPTION,FALLBACK
STB,0.9,0.18,0.025,0.06,0.035,ASSUMPTION,FALLBACK
VIB,0.92,0.17,0.035,0.1,0.043,ASSUMPTION,FALLBACK
SHB,0.89,0.14,0.04,0.07,0.032,ASSUMPTION,FALLBACK
TPB,0.87,0.23,0.03,0.05,0.038,ASSUMPTION,FALLBACK
LPB,0.86,0.13,0.025,0.04,0.036,ASSUMPTION,FALLBACK
OCB,0.91,0.15,0.035,0.09,0.034,ASSUMPTION,FALLBACK
MSB,0.82,0.27,0.03,0.01,0.038,ASSUMPTION,FALLBACK
SSB,0.79,0.12,0.025,-0.03,0.03,ASSUMPTION,FALLBACK
EIB,0.77,0.2,0.02,-0.05,0.028,ASSUMPTION,FALLBACK
NAB,0.88,0.1,0.03,0.06,0.033,ASSUMPTION,FALLBACK
KLB,0.84,0.09,0.025,0.04,0.034,ASSUMPTION,FALLBACK
BAB,0.83,0.07,0.03,0.03,0.03,ASSUMPTION,FALLBACK
