horizon,forecast,p10,p90,p025,p975,date
1,-0.4460482834229588,-1.2430773816822265,0.3509808148363088,-1.6649990999316644,0.7729025330857466,2026-08-18
2,-0.29341783074636385,-1.2304520347841588,0.6436163732914312,-1.7264879791299634,1.1396523176372355,2026-08-19
3,-0.1849225645003509,-1.1847096970013782,0.8148645680006763,-1.713965035043369,1.3441199060426672,2026-08-20
4,-0.10941998468336445,-1.138252376396259,0.9194124070295303,-1.6828833458931571,1.4640433765264285,2026-08-21
5,-0.05675136958130791,-1.099423217397576,0.9859204782349601,-1.6513803524153134,1.5378776132526975,2026-08-24
6,-0.02002111830256597,-1.0693578288531704,1.0293155922480384,-1.624843129082077,1.584800892476945,2026-08-25
7,0.005594763562503697,-1.0469683069922635,1.058157834117271,-1.6041615390389932,1.6153510661640007,2026-08-26
8,0.02345935962652145,-1.030669350114521,1.0775880693675637,-1.588691381482473,1.6356101007355157,2026-08-27
9,0.03591818971189695,-1.0189711623760982,1.0908075417998921,-1.5773958534796866,1.6492322329034805,2026-08-28
10,0.04460701981579894,-1.0106520888201769,1.0998661284517746,-1.5692725172166682,1.6584865568482658,2026-08-31
11,0.050666639253976374,-1.0047722615932104,1.106105540101163,-1.5634878662371532,1.6648211447451058,2026-09-01
12,0.05489263829815457,-1.0006336972807484,1.1104189738770573,-1.5593955870757865,1.6691808636720955,2026-09-02
13,0.057839864292259194,-0.9977289944274935,1.113408723012012,-1.5565133946135474,1.672193123198066,2026-09-03
14,0.05989526964598894,-0.9956942704969651,1.115484809788943,-1.5544896187671378,1.6742801580591156,2026-09-04
15,0.06132871627566553,-0.9942708825749631,1.116928315126294,-1.5530715556033343,1.6757289881546653,2026-09-07
16,0.06232840679238156,-0.9932760842920071,1.1179328978767702,-1.5520793471124934,1.6767361606972564,2026-09-08
17,0.06302559433220467,-0.9925812761868982,1.1186324648513075,-1.5513857986040356,1.677436987268445,2026-09-09
18,0.06351181527514345,-0.9920962125311727,1.1191198430814597,-1.5509013475791547,1.6779249781294416,2026-09-10
19,0.06385090740150626,-0.9917576832758309,1.1194594980788435,-1.5505631162897324,1.678264931092745,2026-09-11
20,0.06408739139470135,-0.9915214730469311,1.1196962558363337,-1.5503270509828966,1.6785018337722992,2026-09-14
