horizon,forecast,p10,p90,p025,p975,date,ForecastTier
1,5.179473817417287,1.3714816688107994,8.987465966023775,-0.6443476075975996,11.003295242432173,2026-08-03,EXPLORATORY
2,4.893604309889232,1.064604728142852,8.722603891635613,-0.9623452116211908,10.749553831399655,2026-08-04,EXPLORATORY
3,4.8884423927698,1.0571218456467633,8.719762939892837,-0.9710567389708427,10.747941524510443,2026-08-05,EXPLORATORY
4,4.901072130689245,1.0696138952210883,8.732530366157402,-0.9586375772036035,10.760781838582094,2026-08-06,EXPLORATORY
5,4.90263844091367,1.0711792345661117,8.734097647261228,-0.9570727518110891,10.76234963363843,2026-08-07,EXPLORATORY
6,4.902221221849558,1.0707616003339937,8.733680843365123,-0.9574906058198742,10.76193304951899,2026-08-10,EXPLORATORY
7,4.902105162271014,1.0706455402550072,8.73356478428702,-0.9576066661637794,10.761816990705807,2026-08-11,EXPLORATORY
8,4.902112179804454,1.070652557041106,8.733571802567802,-0.9575996497732993,10.761824009382206,2026-08-12,EXPLORATORY
9,4.902118265894103,1.0706586431154959,8.73357788867271,-0.957593563706987,10.761830095495192,2026-08-13,EXPLORATORY
10,4.902118582692566,1.0706589599132377,8.733578205471893,-0.9575932469096271,10.76183041229476,2026-08-14,EXPLORATORY
11,4.9021183355715685,1.0706587127921678,8.733577958350969,-0.9575934940307347,10.761830165173873,2026-08-17,EXPLORATORY
12,4.902118294980399,1.0706586722009983,8.7335779177598,-0.9575935346219042,10.761830124582701,2026-08-18,EXPLORATORY
13,4.902118302098023,1.0706586793186221,8.733577924877423,-0.9575935275042804,10.761830131700325,2026-08-19,EXPLORATORY
14,4.902118304717102,1.0706586819377013,8.733577927496503,-0.9575935248852012,10.761830134319405,2026-08-20,EXPLORATORY
15,4.902118304664613,1.0706586818852126,8.733577927444014,-0.9575935249376899,10.761830134266916,2026-08-21,EXPLORATORY
16,4.902118304538407,1.070658681759006,8.733577927317807,-0.9575935250638965,10.761830134140709,2026-08-24,EXPLORATORY
17,4.9021183045275505,1.0706586817481498,8.733577927306952,-0.9575935250747527,10.761830134129854,2026-08-25,EXPLORATORY
18,4.902118304532224,1.0706586817528234,8.733577927311625,-0.9575935250700791,10.761830134134527,2026-08-26,EXPLORATORY
19,4.902118304533215,1.0706586817538146,8.733577927312616,-0.9575935250690879,10.761830134135518,2026-08-27,EXPLORATORY
20,4.902118304533104,1.0706586817537036,8.733577927312504,-0.9575935250691989,10.761830134135408,2026-08-28,EXPLORATORY
